資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長さ	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-041-01	邦訳日葡辞書	23	10	地	地	赤地	赤地	acagi	混種語	2	1			ヂ	アカヂ					009r		gi
50-041-01	邦訳日葡辞書	24	11	障	障	明障子	明障子	acarixo_ji	混種語	2	2			シャゥ	アカリシャゥジ					010r		xo_
50-041-01	邦訳日葡辞書	25	11	子	子	明障子	明障子	acarixo_ji	混種語	3	1			ジ	アカリシャゥジ					010r		ji
50-041-01	邦訳日葡辞書	26	12	赤	赤	赤赤熊	赤赤熊	acaxaguma	混種語	2	1			シャ	アカシャグマ					010r†		xa
50-041-01	邦訳日葡辞書	27	13	惡	悪	惡口	悪口	acc_		1	2			アッ	アッコゥ					010r		ac
50-041-01	邦訳日葡辞書	28	13	口	口	惡口	悪口	acc_		2	2			コゥ	アッコゥ					010r		c_
50-041-01	邦訳日葡辞書	29	14	下	下	下火	下火	aco		1	1			ア	アコ					011l		a
50-041-01	邦訳日葡辞書	30	14	火	火	下火	下火	aco		2	1			コ	アコ					011l		co
50-041-01	邦訳日葡辞書	31	15	阿	阿	阿古陀	阿古陀	acoda		1	1			ア	アコダ				"見出し語出現形：acoda. l, acodauri."	011l	複合派生項目：acoda uri	a
50-041-01	邦訳日葡辞書	32	15	古	古	阿古陀	阿古陀	acoda		2	1			コ	アコダ				"見出し語出現形：acoda. l, acodauri."	011l	複合派生項目：acoda uri	co
50-041-01	邦訳日葡辞書	33	15	陀	陀	阿古陀	阿古陀	acoda		3	1			ダ	アコダ				"見出し語出現形：acoda. l, acodauri."	011l	複合派生項目：acoda uri	da
50-041-01	邦訳日葡辞書	34	16	阿	阿	阿古屋	阿古屋	acoya	混種語	1	1			ア	アコヤ				"見出し語出現形：acoya. l, acoyano cai"	011l	複合派生項目：acoyano cai	a
50-041-01	邦訳日葡辞書	35	16	古	古	阿古屋	阿古屋	acoya	混種語	2	1			コ	アコヤ				"見出し語出現形：acoya. l, acoyano cai"	011l	複合派生項目：acoyano cai	co
50-041-01	邦訳日葡辞書	36	17	惡	悪	惡見	悪見	acqen		1	2			アッ	アッケン					011l		ac
50-041-01	邦訳日葡辞書	37	17	見	見	惡見	悪見	acqen		2	2			ケン	アッケン					011l		qen
50-041-01	邦訳日葡辞書	38	18	惡	悪	惡血	悪血	acqet		1	2			アッ	アッケっ					011l		ac
50-041-01	邦訳日葡辞書	39	18	血	血	惡血	悪血	acqet		2	2			ケっ	アッケっ					011l		qet
50-041-01	邦訳日葡辞書	40	19	惡	悪	惡氣	悪気	acqi		1	2			アッ	アッキ					011l		ac
50-041-01	邦訳日葡辞書	41	19	氣	気	惡氣	悪気	acqi		2	1			キ	アッキ					011l		qi
50-041-01	邦訳日葡辞書	42	20	惡	悪	惡鬼	悪鬼	acqi		1	2			アッ	アッキ					011l		ac
50-041-01	邦訳日葡辞書	43	20	鬼	鬼	惡鬼	悪鬼	acqi		2	1			キ	アッキ					011l		qi
50-041-01	邦訳日葡辞書	44	21	惡	悪	惡果	悪果	acqua		1	2			アッ	アックヮ					011l		ac
50-041-01	邦訳日葡辞書	45	21	果	果	惡果	悪果	acqua		2	1			クヮ	アックヮ					011l		qua
50-041-01	邦訳日葡辞書	46	22	惡	悪	惡	悪	acu		1	2			アク	アク					011l		acu
50-041-01	邦訳日葡辞書	47	23	惡	悪	惡比丘	悪比丘	acubicu		1	2			アク	アクビク					011l		acu
50-041-01	邦訳日葡辞書	48	23	比	比	惡比丘	悪比丘	acubicu		2	1			ビ	アクビク					011l		bi
50-041-01	邦訳日葡辞書	49	23	丘	丘	惡比丘	悪比丘	acubicu		3	1			ク	アクビク					011l		cu
50-041-01	邦訳日葡辞書	50	24	惡	悪	惡病	悪病	acubio_		1	2			アク	アクビャゥ					011r		acu
50-041-01	邦訳日葡辞書	51	24	病	病	惡病	悪病	acubio_		2	2			ビャゥ	アクビャゥ					011r		bio_
50-041-01	邦訳日葡辞書	52	25	惡	悪	惡木	悪木	acubocu		1	2			アク	アクボク					011r		acu
50-041-01	邦訳日葡辞書	53	25	木	木	惡木	悪木	acubocu		2	2			ボク	アクボク					011r		bocu
50-041-01	邦訳日葡辞書	54	26	惡	悪	惡血	悪血	acuchi	混種語	1	2			アク	アクチ					011r†		acu
50-041-01	邦訳日葡辞書	55	27	惡	悪	惡知識	悪知識	acuchixiqi		1	2			アク	アクチシキ					011r		acu
50-041-01	邦訳日葡辞書	56	27	知	知	惡知識	悪知識	acuchixiqi		2	1			チ	アクチシキ					011r		chi
50-041-01	邦訳日葡辞書	57	27	識	識	惡知識	悪知識	acuchixiqi		3	2			シキ	アクチシキ					011r		xiqi
50-041-01	邦訳日葡辞書	58	28	惡	悪	惡虫	悪虫	acuch_		1	2			アク	アクチュゥ					011r		acu
50-041-01	邦訳日葡辞書	59	28	虫	虫	惡虫	悪虫	acuch_		2	2			チュゥ	アクチュゥ					011r		ch_
50-041-01	邦訳日葡辞書	60	29	惡	悪	惡道	悪道	acudo_		1	2			アク	アクダゥ					011r		acu
50-041-01	邦訳日葡辞書	61	29	道	道	惡道	悪道	acudo_		2	2			ダゥ	アクダゥ					011r		do_
50-041-01	邦訳日葡辞書	62	30	惡	悪	惡毒	悪毒	acudocu		1	2			アク	アクドク					011r		acu
50-041-01	邦訳日葡辞書	63	30	毒	毒	惡毒	悪毒	acudocu		2	2			ドク	アクドク					011r		docu
50-041-01	邦訳日葡辞書	64	31	惡	悪	惡癖	悪癖	acufeqi		1	2			アク	アクヘキ					011r		acu
50-041-01	邦訳日葡辞書	65	31	癖	癖	惡癖	悪癖	acufeqi		2	2			ヘキ	アクヘキ					011r		feqi
50-041-01	邦訳日葡辞書	66	32	惡	悪	惡兵	悪兵	acufio_		1	2			アク	アクヒャゥ					011r		acu
50-041-01	邦訳日葡辞書	67	32	兵	兵	惡兵	悪兵	acufio_		2	2			ヒャゥ	アクヒャゥ					011r		fio_
50-041-01	邦訳日葡辞書	68	33	惡	悪	惡筆	悪筆	acufit		1	2			アク	アクヒっ					011r		acu
50-041-01	邦訳日葡辞書	69	33	筆	筆	惡筆	悪筆	acufit		2	2			ヒっ	アクヒっ					011r		fit
50-041-01	邦訳日葡辞書	70	34	惡	悪	惡法	悪法	acuf_		1	2			アク	アクホゥ					011r		acu
50-041-01	邦訳日葡辞書	71	34	法	法	惡法	悪法	acuf_		2	2			ホゥ	アクホゥ					011r		f_
50-041-01	邦訳日葡辞書	72	35	惡	悪	惡方	悪方	acufo_		1	2			アク	アクハゥ					011r		acu
50-041-01	邦訳日葡辞書	73	35	方	方	惡方	悪方	acufo_		2	2			ハゥ	アクハゥ					011r		fo_
50-041-01	邦訳日葡辞書	74	36	惡	悪	惡風	悪風	acuf_		1	2			アク	アクフゥ					011r		acu
50-041-01	邦訳日葡辞書	75	36	風	風	惡風	悪風	acuf_		2	2			フゥ	アクフゥ					011r		f_
50-041-01	邦訳日葡辞書	76	37	惡	悪	惡言	悪言	acuguen		1	2			アク	アクゲン					011r		acu
50-041-01	邦訳日葡辞書	77	37	言	言	惡言	悪言	acuguen		2	2			ゲン	アクゲン					011r		guen
50-041-01	邦訳日葡辞書	78	38	惡	悪	惡逆	悪逆	acuguiacu		1	2			アク	アクギャク					011r		acu
50-041-01	邦訳日葡辞書	79	38	逆	逆	惡逆	悪逆	acuguiacu		2	2			ギャク	アクギャク					011r		guiacu
50-041-01	邦訳日葡辞書	80	39	惡	悪	惡魚	悪魚	acuguio		1	2			アク	アクギョ					011r		acu
50-041-01	邦訳日葡辞書	81	39	魚	魚	惡魚	悪魚	acuguio		2	1			ギョ	アクギョ					011r		guio
50-041-01	邦訳日葡辞書	82	40	惡	悪	惡行	悪行	acuguio_		1	2			アク	アクギャゥ					011r		acu
50-041-01	邦訳日葡辞書	83	40	行	行	惡行	悪行	acuguio_		2	2			ギャゥ	アクギャゥ					011r		guio_
50-041-01	邦訳日葡辞書	84	41	惡	悪	惡業	悪業	acug_		1	2			アク	アクゴゥ					011r		acu
50-041-01	邦訳日葡辞書	85	41	業	業	惡業	悪業	acug_		2	2			ゴゥ	アクゴゥ					011r		g_
50-041-01	邦訳日葡辞書	86	42	惡	悪	惡言	悪言	acugon		1	2			アク	アクゴン					011r		acu
50-041-01	邦訳日葡辞書	87	42	言	言	惡言	悪言	acugon		2	2			ゴン	アクゴン					011r		gon
50-041-01	邦訳日葡辞書	88	43	惡	悪	惡地	悪地	acugi		1	2			アク	アクヂ					011r		acu
50-041-01	邦訳日葡辞書	89	43	地	地	惡地	悪地	acugi		2	1			ヂ	アクヂ					011r		gi
50-041-01	邦訳日葡辞書	90	44	惡	悪	惡女	悪女	acugio		1	2			アク	アクヂョ					011r		acu
50-041-01	邦訳日葡辞書	91	44	女	女	惡女	悪女	acugio		2	1			ヂョ	アクヂョ					011r		gio
50-041-01	邦訳日葡辞書	92	45	惡	悪	惡因	悪因	acuin		1	2			アク	アクイン					011r		acu
50-041-01	邦訳日葡辞書	93	45	因	因	惡因	悪因	acuin		2	2			イン	アクイン					011r		in
50-041-01	邦訳日葡辞書	94	46	惡	悪	惡事	悪事	acuji		1	2			アク	アクジ					012l		acu
50-041-01	邦訳日葡辞書	95	46	事	事	惡事	悪事	acuji		2	1			ジ	アクジ					012l		ji
50-041-01	邦訳日葡辞書	96	47	惡	悪	惡時	悪時	acuji		1	2			アク	アクジ					012l		acu
50-041-01	邦訳日葡辞書	97	47	時	時	惡時	悪時	acuji		2	1			ジ	アクジ					012l		ji
50-041-01	邦訳日葡辞書	98	48	惡	悪	惡神	悪神	acujin		1	2			アク	アクジン					012l		acu
50-041-01	邦訳日葡辞書	99	48	神	神	惡神	悪神	acujin		2	2			ジン	アクジン					012l		jin
50-041-01	邦訳日葡辞書	100	49	惡	悪	惡實	悪実	acujit		1	2			アク	アクジっ					012l†		acu
50-041-01	邦訳日葡辞書	101	49	實	実	惡實	悪実	acujit		2	2			ジっ	アクジっ					012l†		jit
50-041-01	邦訳日葡辞書	102	50	惡	悪	惡獸	悪獣	acuju		1	2			アク	アクジュ					012l		acu
50-041-01	邦訳日葡辞書	103	50	獸	獣	惡獸	悪獣	acuju		2	1			ジュ	アクジュ					012l		ju
50-041-01	邦訳日葡辞書	104	51	惡	悪	惡魔	悪魔	acuma		1	2			アク	アクマ					012l		acu
50-041-01	邦訳日葡辞書	105	51	魔	魔	惡魔	悪魔	acuma		2	1			マ	アクマ					012l		ma
50-041-01	邦訳日葡辞書	106	52	惡	悪	惡目	悪目	acume	混種語	1	2			アク	アクメ					012l		acu
50-041-01	邦訳日葡辞書	107	53	惡	悪	惡面	悪面	acumen		1	2			アク	アクメン					012l		acu
50-041-01	邦訳日葡辞書	108	53	面	面	惡面	悪面	acumen		2	2			メン	アクメン					012l		men
50-041-01	邦訳日葡辞書	109	54	惡	悪	惡名	悪名	acumio_		1	2			アク	アクミャゥ					012l		acu
50-041-01	邦訳日葡辞書	110	54	名	名	惡名	悪名	acumio_		2	2			ミャゥ	アクミャゥ					012l		mio_
50-041-01	邦訳日葡辞書	111	55	惡	悪	惡物	悪物	acumot		1	2			アク	アクモっ					012l		acu
50-041-01	邦訳日葡辞書	112	55	物	物	惡物	悪物	acumot		2	2			モっ	アクモっ					012l		mot
50-041-01	邦訳日葡辞書	113	56	惡	悪	惡念	悪念	acunen		1	2			アク	アクネン					012l		acu
50-041-01	邦訳日葡辞書	114	56	念	念	惡念	悪念	acunen		2	2			ネン	アクネン					012l		nen
50-041-01	邦訳日葡辞書	115	57	惡	悪	惡日	悪日	acunichi		1	2			アク	アクニチ					012l		acu
50-041-01	邦訳日葡辞書	116	57	日	日	惡日	悪日	acunichi		2	2			ニチ	アクニチ					012l		nichi
50-041-01	邦訳日葡辞書	117	58	惡	悪	惡肉	悪肉	acunicu		1	2			アク	アクニク					012l		acu
50-041-01	邦訳日葡辞書	118	58	肉	肉	惡肉	悪肉	acunicu		2	2			ニク	アクニク					012l		nicu
50-041-01	邦訳日葡辞書	119	59	惡	悪	惡人	悪人	acunin		1	2			アク	アクニン					012l		acu
50-041-01	邦訳日葡辞書	120	59	人	人	惡人	悪人	acunin		2	2			ニン	アクニン					012l		nin
50-041-01	邦訳日葡辞書	121	60	惡	悪	惡靈	悪霊	acurei		1	2			アク	アクレイ				"見出し語出現形：acurei. l, acurio_."	012l		acu
50-041-01	邦訳日葡辞書	122	60	靈	霊	惡靈	悪霊	acurei		2	2			レイ	アクレイ				"見出し語出現形：acurei. l, acurio_."	012l		rei
50-041-01	邦訳日葡辞書	123	61	惡	悪	惡例	悪例	acurei		1	2			アク	アクレイ					012l		acu
50-041-01	邦訳日葡辞書	124	61	例	例	惡例	悪例	acurei		2	2			レイ	アクレイ					012l		rei
50-041-01	邦訳日葡辞書	125	62	惡	悪	惡龍	悪竜	acure_		1	2			アク	アクレゥ				"見出し語出現形：acure_. l, acuri_."	012l		acu
50-041-01	邦訳日葡辞書	126	62	龍	竜	惡龍	悪竜	acure_		2	2			レゥ	アクレゥ				"見出し語出現形：acure_. l, acuri_."	012l		re_
50-041-01	邦訳日葡辞書	127	63	惡	悪	惡龍	悪竜	acuri_		1	2			アコ	アコリュゥ				"見出し語出現形：acure_. l, acuri_."	012lＬ	校訂注：acori_をacuri_に訂正	acu
50-041-01	邦訳日葡辞書	128	63	龍	竜	惡龍	悪竜	acuri_		2	2			リュゥ	アコリュゥ				"見出し語出現形：acure_. l, acuri_."	012lＬ	校訂注：acori_をacuri_に訂正	ri_
50-041-01	邦訳日葡辞書	129	64	惡	悪	惡靈	悪霊	acurio_		1	2			アク	アクリャゥ					012l	2項目を統合（acureiのvel注記）	acu
50-041-01	邦訳日葡辞書	130	64	靈	霊	惡靈	悪霊	acurio_		2	2			リャゥ	アクリャゥ					012l	2項目を統合（acureiのvel注記）	rio_
50-041-01	邦訳日葡辞書	131	65	惡	悪	惡流	悪流	acuri_		1	2			アク	アクリュゥ					012l		acu
50-041-01	邦訳日葡辞書	132	65	流	流	惡流	悪流	acuri_		2	2			リュゥ	アクリュゥ					012l		ri_
50-041-01	邦訳日葡辞書	133	66	惡	悪	惡類	悪類	acurui		1	2			アク	アクルイ					012l		acu
50-041-01	邦訳日葡辞書	134	66	類	類	惡類	悪類	acurui		2	2			ルイ	アクルイ					012l		rui
50-041-01	邦訳日葡辞書	135	67	惡	悪	惡作	悪作	acusa		1	2			アク	アクサ					012r		acu
50-041-01	邦訳日葡辞書	136	67	作	作	惡作	悪作	acusa		2	1			サ	アクサ					012r		sa
50-041-01	邦訳日葡辞書	137	68	惡	悪	惡妻	悪妻	acusai		1	2			アク	アクサイ					012r		acu
50-041-01	邦訳日葡辞書	138	68	妻	妻	惡妻	悪妻	acusai		2	2			サイ	アクサイ					012r		sai
50-041-01	邦訳日葡辞書	139	69	惡	悪	惡草	悪草	acuso_		1	2			アク	アクサゥ					012r		acu
50-041-01	邦訳日葡辞書	140	69	草	草	惡草	悪草	acuso_		2	2			サゥ	アクサゥ					012r		so_
50-041-01	邦訳日葡辞書	141	70	惡	悪	惡僧	悪僧	acus_		1	2			アク	アクソゥ					012r		acu
50-041-01	邦訳日葡辞書	142	70	僧	僧	惡僧	悪僧	acus_		2	2			ソゥ	アクソゥ					012r		s_
50-041-01	邦訳日葡辞書	143	71	惡	悪	惡左右	悪左右	acuso_		1	2			アク	アクサゥ					012r		acu
50-041-01	邦訳日葡辞書	144	71	左	左	惡左右	悪左右	acuso_		2	1			（サゥ）	アクサゥ					012r		（so_）
50-041-01	邦訳日葡辞書	145	71	右	右	惡左右	悪左右	acuso_		3	1			（サゥ）	アクサゥ					012r		（so_）
50-041-01	邦訳日葡辞書	146	72	惡	悪	惡相	悪相	acuso_		1	2			アク	アクサゥ					012r		acu
50-041-01	邦訳日葡辞書	147	72	相	相	惡相	悪相	acuso_		2	2			サゥ	アクサゥ					012r		so_
50-041-01	邦訳日葡辞書	148	73	惡	悪	惡瘡	悪瘡	acuso_		1	2			アク	アクサゥ					012r		acu
50-041-01	邦訳日葡辞書	149	73	瘡	瘡	惡瘡	悪瘡	acuso_		2	2			サゥ	アクサゥ					012r		so_
50-041-01	邦訳日葡辞書	150	74	惡	悪	惡水	悪水	acusui		1	2			アク	アクスイ					012r		acu
50-041-01	邦訳日葡辞書	151	74	水	水	惡水	悪水	acusui		2	2			スイ	アクスイ					012r		sui
50-041-01	邦訳日葡辞書	152	75	惡	悪	惡敵	悪敵	acuteqi		1	2			アク	アクテキ					012r†		acu
50-041-01	邦訳日葡辞書	153	75	敵	敵	惡敵	悪敵	acuteqi		2	2			テキ	アクテキ					012r†		teqi
50-041-01	邦訳日葡辞書	154	76	惡	悪	惡黨	悪党	acuto_		1	2			アク	アクタゥ					012r		acu
50-041-01	邦訳日葡辞書	155	76	黨	党	惡黨	悪党	acuto_		2	2			タゥ	アクタゥ					012r		to_
50-041-01	邦訳日葡辞書	156	77	惡	悪	惡王	悪王	acuvo_		1	2			アク	アクワゥ					012r		acu
50-041-01	邦訳日葡辞書	157	77	王	王	惡王	悪王	acuvo_		2	2			ワゥ	アクワゥ					012r		vo_
50-041-01	邦訳日葡辞書	158	78	惡	悪	惡音	悪音	acuvon		1	2			アク	アクヲン					012r		acu
50-041-01	邦訳日葡辞書	159	78	音	音	惡音	悪音	acuvon		2	2			ヲン	アクヲン					012r		von
50-041-01	邦訳日葡辞書	160	79	惡	悪	惡世	悪世	acuxe		1	2			アク	アクセ					012r		acu
50-041-01	邦訳日葡辞書	161	79	世	世	惡世	悪世	acuxe		2	1			セ	アクセ					012r		xe
50-041-01	邦訳日葡辞書	162	80	惡	悪	惡世界	悪世界	acuxecai		1	2			アク	アクセカイ					012r		acu
50-041-01	邦訳日葡辞書	163	80	世	世	惡世界	悪世界	acuxecai		2	1			セ	アクセカイ					012r		xe
50-041-01	邦訳日葡辞書	164	80	界	界	惡世界	悪世界	acuxecai		3	2			カイ	アクセカイ					012r		cai
50-041-01	邦訳日葡辞書	165	81	惡	悪	惡星	悪星	acuxei		1	2			アク	アクセイ					012r		acu
50-041-01	邦訳日葡辞書	166	81	星	星	惡星	悪星	acuxei		2	2			セイ	アクセイ					012r		xei
50-041-01	邦訳日葡辞書	167	82	惡	悪	惡錢	悪銭	acuxen		1	2			アク	アクセン					012r		acu
50-041-01	邦訳日葡辞書	168	82	錢	銭	惡錢	悪銭	acuxen		2	2			セン	アクセン					012r		xen
50-041-01	邦訳日葡辞書	169	83	惡	悪	惡説	悪説	acuxet		1	2			アク	アクセっ					012r		acu
50-041-01	邦訳日葡辞書	170	83	説	説	惡説	悪説	acuxet		2	2			セっ	アクセっ					012r		xet
50-041-01	邦訳日葡辞書	171	84	惡	悪	惡心	悪心	acuxin		1	2			アク	アクシン					012r		acu
50-041-01	邦訳日葡辞書	172	84	心	心	惡心	悪心	acuxin		2	2			シン	アクシン					012r		xin
50-041-01	邦訳日葡辞書	173	85	惡	悪	惡所	悪所	acuxo		1	2			アク	アクショ					012r		acu
50-041-01	邦訳日葡辞書	174	85	所	所	惡所	悪所	acuxo		2	1			ショ	アクショ					012r		xo
50-041-01	邦訳日葡辞書	175	86	惡	悪	惡食	悪食	acuxocu		1	2			アク	アクショク					012r		acu
50-041-01	邦訳日葡辞書	176	86	食	食	惡食	悪食	acuxocu		2	2			ショク	アクショク					012r		xocu
50-041-01	邦訳日葡辞書	177	87	惡	悪	惡主	悪主	acuxu		1	2			アク	アクシュ					012r		acu
50-041-01	邦訳日葡辞書	178	87	主	主	惡主	悪主	acuxu		2	1			シュ	アクシュ					012r		xu
50-041-01	邦訳日葡辞書	179	88	惡	悪	惡臭	悪臭	acux_		1	2			アク	アクシュゥ					012r		acu
50-041-01	邦訳日葡辞書	180	88	臭	臭	惡臭	悪臭	acux_		2	2			シュゥ	アクシュゥ					012r		x_
50-041-01	邦訳日葡辞書	181	89	惡	悪	惡趣	悪趣	acuxu		1	2			アク	アクシュ					012r		acu
50-041-01	邦訳日葡辞書	182	89	趣	趣	惡趣	悪趣	acuxu		2	1			シュ	アクシュ					012r		xu
50-041-01	邦訳日葡辞書	183	90	惡	悪	惡穢	悪穢	acuye		1	2			アク	アクエ					012r		acu
50-041-01	邦訳日葡辞書	184	90	穢	穢	惡穢	悪穢	acuye		2	1			エ	アクエ					012r		ye
50-041-01	邦訳日葡辞書	185	91	惡	悪	惡衣	悪衣	acuye		1	2			アク	アクエ					012r		acu
50-041-01	邦訳日葡辞書	186	91	衣	衣	惡衣	悪衣	acuye		2	1			エ	アクエ					012r		ye
50-041-01	邦訳日葡辞書	187	92	惡	悪	惡縁	悪縁	acuyen		1	2			アク	アクエン					013l		acu
50-041-01	邦訳日葡辞書	188	92	縁	縁	惡縁	悪縁	acuyen		2	2			エン	アクエン					013l		yen
50-041-01	邦訳日葡辞書	189	93	惡	悪	惡友	悪友	acuy_		1	2			アク	アクユゥ					013l		acu
50-041-01	邦訳日葡辞書	190	93	友	友	惡友	悪友	acuy_		2	2			ユゥ	アクユゥ					013l		y_
50-041-01	邦訳日葡辞書	191	94	惡	悪	惡賊	悪賊	acuzocu		1	2			アク	アクゾク					013l		acu
50-041-01	邦訳日葡辞書	192	94	賊	賊	惡賊	悪賊	acuzocu		2	2			ゾク	アクゾク					013l		zocu
50-041-01	邦訳日葡辞書	193	95	誓	誓	徒誓文	徒誓文	adajeimon	混種語	2	2			ゼイ	アダゼイモン					013l†		jei
50-041-01	邦訳日葡辞書	194	95	文	文	徒誓文	徒誓文	adajeimon	混種語	3	2			モン	アダゼイモン					013l†		mon
50-041-01	邦訳日葡辞書	195	96	阿	阿	阿房	阿房	afo_		1	1			ア	アハゥ					013r	"複合派生項目：afo_na, afo_ni"	a
50-041-01	邦訳日葡辞書	196	96	房	房	阿房	阿房	afo_		2	2			ハゥ	アハゥ					013r	"複合派生項目：afo_na, afo_ni"	fo_
50-041-01	邦訳日葡辞書	197	97	阿	阿	阿房	阿房げな	afo_guena	混種語	1	1			ア	アハゥゲナ					013r		a
50-041-01	邦訳日葡辞書	198	97	房	房	阿房	阿房げな	afo_guena	混種語	2	2			ハゥ	アハゥゲナ					013r		fo_
50-041-01	邦訳日葡辞書	199	98	阿	阿	阿防羅刹	阿防羅刹	afo_raxet		1	1			ア	アハゥラセっ					013r		a
50-041-01	邦訳日葡辞書	200	98	防	防	阿防羅刹	阿防羅刹	afo_raxet		2	2			ハゥ	アハゥラセっ					013r		fo_
50-041-01	邦訳日葡辞書	201	98	羅	羅	阿防羅刹	阿防羅刹	afo_raxet		3	1			ラ	アハゥラセっ					013r		ra
50-041-01	邦訳日葡辞書	202	98	刹	刹	阿防羅刹	阿防羅刹	afo_raxet		4	2			セっ	アハゥラセっ					013r		xet
50-041-01	邦訳日葡辞書	203	99	阿	阿	阿房	阿房らしい	afo_raxij	混種語	1	1			ア	アハゥラシイ					013r		a
50-041-01	邦訳日葡辞書	204	99	房	房	阿房	阿房らしい	afo_raxij	混種語	2	2			ハゥ	アハゥラシイ					013r		fo_
50-041-01	邦訳日葡辞書	205	100	燭	燭	上蓋燭台	上蓋の燭台	aguebutano xocudai	混種語	4	2			ショク	アゲブタノショクダイ					014r		xocu
50-041-01	邦訳日葡辞書	206	100	台	台	上蓋燭台	上蓋の燭台	aguebutano xocudai	混種語	5	2			ダイ	アゲブタノショクダイ					014r		dai
50-041-01	邦訳日葡辞書	207	101	昆	昆	揚昆布	揚昆布	ague cobu	混種語	2	1			コ	アゲコブ					015l		co
50-041-01	邦訳日葡辞書	208	101	布	布	揚昆布	揚昆布	ague cobu	混種語	3	1			ブ	アゲコブ					015l		bu
50-041-01	邦訳日葡辞書	209	102	句	句	擧句	挙句に	aguecuni	混種語	2	1			ク	アゲクニ					015l		cu
50-041-01	邦訳日葡辞書	210	103	灯	灯	揚灯籠	揚灯籠	agued_ro	混種語	2	2			ドゥ	アゲドゥロ					015l		d_
50-041-01	邦訳日葡辞書	211	103	籠	籠	揚灯籠	揚灯籠	agued_ro	混種語	3	1			ロ	アゲドゥロ					015l		ro
50-041-01	邦訳日葡辞書	212	104	火	火	上火燵	上火燵	aguegotat_u	混種語	2	1			ゴ	アゲゴタツ					015l		go
50-041-01	邦訳日葡辞書	213	104	燵	燵	上火燵	上火燵	aguegotat_u	混種語	3	2			タツ	アゲゴタツ					015l		tat_u
